iter	MultiClass
0	0.6880488443
1	0.683803768
2	0.6803463892
3	0.6775379245
4	0.6752305369
5	0.6732966792
6	0.6717754193
7	0.6705410091
8	0.6695302781
9	0.6686687663
10	0.6679032734
11	0.6672933803
12	0.666840555
13	0.6664531375
14	0.6660481601
15	0.6656766828
16	0.6654239261
17	0.665133267
18	0.6648737521
19	0.664657493
20	0.6644434716
21	0.6642215519
22	0.6640371708
23	0.6638790407
24	0.6637325519
25	0.6635017953
26	0.6634030163
27	0.6632534296
28	0.6631154239
29	0.6630116346
30	0.6629066149
31	0.6627410965
32	0.6626832448
33	0.6625973978
34	0.6624769411
35	0.6623686442
36	0.6623280759
37	0.6622487018
38	0.6621018477
39	0.6619491124
40	0.6618906471
41	0.6617377101
42	0.6616422428
43	0.6615819236
44	0.6614858383
45	0.6613787014
46	0.6612773036
