iter	Passed	Remaining
0	344	68642
1	532	52715
2	730	47993
3	922	45199
4	1097	42799
5	1358	43912
6	1595	43986
7	1810	43450
8	2165	45958
9	2457	46684
10	2770	47606
11	2992	46878
12	3179	45738
13	3520	46769
14	3783	46668
15	4056	46651
16	4287	46151
17	4515	45657
18	4719	44962
19	4896	44069
20	5118	43632
21	5316	43013
22	5499	42319
23	5675	41620
24	5903	41327
25	6063	40580
26	6237	39964
27	6448	39614
28	6625	39066
29	6839	38754
30	7067	38526
31	7267	38156
32	7499	37950
33	7707	37631
34	7900	37244
35	8141	37086
36	8377	36907
37	8595	36643
38	8800	36328
39	8971	35884
40	9160	35524
41	9338	35132
42	9532	34804
43	9696	34378
44	9859	33960
45	10037	33603
46	10191	33175
