iter	Passed	Remaining
0	238	47482
1	321	31822
2	402	26453
3	488	23944
4	583	22748
5	676	21886
6	777	21430
7	910	21844
8	1054	22386
9	1179	22417
10	1306	22447
11	1430	22412
12	1533	22054
13	1647	21883
14	1731	21351
15	1828	21024
16	1924	20712
17	2028	20506
18	2150	20489
19	2270	20433
20	2354	20068
21	2441	19756
22	2523	19418
23	2639	19357
24	2732	19128
25	2815	18843
26	2928	18765
27	3035	18644
28	3144	18542
29	3292	18656
30	3441	18759
31	3549	18637
32	3652	18483
33	3757	18346
34	3873	18262
35	3993	18191
36	4108	18099
37	4200	17907
38	4299	17748
39	4395	17582
40	4475	17356
41	4584	17248
42	4687	17115
43	4799	17017
44	4911	16916
45	5004	16753
46	5106	16621
47	5206	16486
48	5286	16290
49	5403	16209
50	5527	16149
51	5619	15993
52	5714	15850
53	5810	15711
54	5919	15606
55	6007	15447
56	6110	15329
57	6207	15197
58	6318	15099
59	6429	15002
60	6526	14872
61	6634	14767
62	6733	14642
63	6840	14536
64	6945	14426
65	7038	14289
66	7158	14210
67	7253	14079
68	7340	13936
69	7542	14006
70	7777	14131
71	7953	14138
72	8115	14118
73	8234	14020
74	8342	13904
75	8482	13840
76	8583	13710
77	8719	13638
78	8865	13578
79	8982	13473
80	9146	13437
81	9286	13363
82	9418	13277
83	9548	13186
84	9689	13109
85	9939	13176
86	10129	13156
87	10294	13101
88	10398	12969
89	10502	12836
90	10598	12694
91	10691	12551
92	10774	12396
93	10871	12259
94	10987	12143
95	11102	12027
96	11196	11889
97	11311	11773
98	11418	11648
99	11538	11538
100	11646	11415
101	11767	11306
102	11869	11178
103	11968	11048
104	12084	10933
105	12195	10815
106	12325	10712
107	12427	10585
108	12519	10451
109	12616	10322
110	12711	10192
111	12816	10069
112	12912	9941
113	13014	9817
114	13111	9691
